pitch_type,release_speed,release_pos_x,release_pos_z,pitcher,zone,stand,p_throws,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_name,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,spin_axis_sin,spin_axis_cos
FF,93.2,2.26,5.81,607536,4.0,R,L,0.56,1.12,-0.82,2.41,-9.208633598393543,-135.44425187940547,-5.487523208264355,8.800647628923615,26.82491943302614,-17.352266669982804,3.32,1.52,94.2,2313.0,6.8,53.74,4-Seam Fastball,138.0,1.49,0.56,-0.56,28.4,0.6691306063588585,-0.743144825477394
FF,94.3,-2.39,5.89,606303,6.0,L,R,-0.7,1.51,0.29,3.05,8.452786275818395,-136.93244242947222,-4.900596526679486,-10.939320540993377,35.74369723784002,-12.336442423856548,3.77,1.82,93.0,2535.0,6.0,54.47,4-Seam Fastball,212.0,1.1,0.7,-0.7,31.2,-0.5299192642332048,-0.8480480961564261
FF,96.8,-1.67,5.61,605347,6.0,L,R,-0.95,0.99,0.68,2.34,8.464827386141083,-140.86589395688458,-5.532622840563231,-14.318273704966163,25.53744610371786,-17.95227903184425,3.42,1.6,97.8,2006.0,6.4,54.1,4-Seam Fastball,225.0,1.41,0.95,-0.95,30.6,-0.7071067811865475,-0.7071067811865477
CU,82.0,-1.35,6.06,683627,14.0,L,R,0.22,-0.21,0.69,-0.11,4.201591504202453,-119.29216601700372,-7.106651228191091,1.3973752090094351,20.005998596157497,-33.16560589095531,3.32,1.57,82.9,2318.0,6.6,53.85,Curveball,59.0,3.57,-0.22,0.22,51.7,0.8571673007021123,0.5150380749100542
CU,78.9,-1.18,5.51,621111,13.0,L,R,0.85,-1.21,-1.15,2.03,-1.5317598113340694,-114.77280785057457,1.6758673852615185,7.726640449828398,26.142138204950047,-43.35090756658025,3.15,1.51,78.5,2464.0,6.6,53.92,Knuckle Curve,39.0,4.95,-0.85,0.85,47.7,0.6293203910498374,0.7771459614569709
CU,77.9,-1.23,6.78,601713,11.0,L,R,0.8,-1.5,-0.94,3.41,-0.865596502994816,-113.21117378874196,2.56096684575032,6.983135273745262,24.36752231433089,-45.69129772409321,3.51,1.67,77.4,2814.0,6.4,54.08,Curveball,28.0,5.32,-0.8,0.8,56.0,0.4694715627858908,0.882947592858927
FF,96.8,-1.79,5.61,676684,9.0,R,R,-0.49,1.68,0.41,1.79,6.985819490421389,-140.62392964058242,-8.44955714194035,-8.053273415179426,32.22813681649208,-8.184544270950061,3.36,1.61,96.9,2460.0,6.5,54.02,4-Seam Fastball,211.0,0.77,0.49,0.49,53.4,-0.5150380749100542,-0.8571673007021123
FF,86.8,3.32,6.07,608718,2.0,L,L,-0.08,1.09,0.04,2.82,-7.857396234553783,-126.2351390510784,-3.934023612281144,0.5594616726861866,23.15279608331951,-19.920417328871384,3.38,1.55,88.9,2164.0,7.4,53.08,4-Seam Fastball,182.0,1.92,-0.08,-0.08,52.5,-0.0348994967025009,-0.9993908270190958
FF,97.7,-2.27,5.28,592779,14.0,R,R,-0.54,1.46,0.89,1.65,9.796832885133592,-141.96465001819027,-7.745022484645005,-9.354145429554944,29.018260076400622,-10.732205336879456,3.32,1.45,98.7,2677.0,6.7,53.79,4-Seam Fastball,226.0,0.91,0.54,0.54,22.8,-0.7193398003386512,-0.6946583704589973
FF,91.3,-1.32,6.24,608337,14.0,R,R,-0.58,1.31,0.37,0.99,5.586130711887611,-132.6061629203061,-10.298456385950349,-8.023954691504478,26.68984279864323,-14.773824235396516,3.13,1.39,92.7,2177.0,7.1,53.39,4-Seam Fastball,207.0,1.42,0.58,0.58,50.5,-0.4539904997395467,-0.8910065241883679
CH,82.8,-3.02,6.05,571945,9.0,L,R,-1.35,0.7,0.33,1.51,10.325410104262732,-120.09823784029356,-5.265501023603177,-15.055189908628543,22.258133426463065,-24.53856091954573,3.12,1.55,83.3,1602.0,6.7,53.82,Changeup,234.0,2.64,1.35,-1.35,40.4,-0.8090169943749473,-0.5877852522924732
SI,96.9,-2.52,5.22,656234,14.0,R,R,-1.03,0.0,0.94,1.64,11.498607602342869,-140.7922010765071,-4.083626587787856,-15.966541794218724,24.922220635339823,-31.58776417408341,3.44,1.68,97.0,2084.0,6.0,54.53,Sinker,249.0,2.39,1.03,1.03,14.7,-0.9335804264972015,-0.3583679495453007
SL,86.2,-2.7,6.6,571945,14.0,R,R,0.37,0.14,1.53,1.52,9.246115087581124,-125.13016657364518,-6.063383871509078,1.994152358739684,25.895147103809727,-29.65569755566305,3.59,1.67,85.8,2378.0,6.2,54.3,Slider,115.0,2.95,-0.37,-0.37,43.3,0.90630778703665,-0.42261826174069933
SL,86.9,-1.94,5.96,695243,12.0,L,R,0.99,-0.03,1.07,3.06,5.243680121416324,-126.53169689907462,-0.6809600882076354,9.412644021484825,27.51783108082497,-32.60378745874814,3.47,1.64,87.9,2449.0,7.0,53.46,Slider,62.0,3.06,-0.99,0.99,32.5,0.8829475928589269,0.46947156278589086
